revenue,profit,debt_ratio,current_ratio,gst_filings,litigation_flag,sector_growth,promoter_risk_score,years_in_business,interest_coverage,revenue_growth,cash_flow_positive,loan_default
4985.03,-0.0771,0.6041,2.1438,7,0,-0.1357,0.083,43,2.8409,0.182,1,0
9419.65,0.2671,0.0785,0.4994,1,0,-0.1081,0.2633,32,2.8107,0.104,1,0
25577.72,0.2073,0.2956,1.0864,0,0,-0.0226,0.4024,17,1.0915,-0.1218,0,0
10350.46,0.2077,0.3685,1.167,6,0,0.1428,0.1301,37,4.2091,0.1627,0,0
2151.68,0.1658,0.3931,1.7492,5,0,0.0826,0.1504,14,0.5354,0.2418,0,0
24412.35,0.1029,0.5292,1.1033,4,0,-0.0755,0.1311,17,12.216,-0.0347,0,0
4476.27,0.2009,0.31,1.6176,11,1,-0.0427,0.1401,32,4.1673,0.2365,0,0
44819.05,0.1888,0.0568,1.484,12,0,0.0782,0.3403,2,6.1529,0.0243,0,0
5546.17,0.0469,0.1555,1.5226,12,0,0.2173,0.2828,39,4.6152,0.2549,1,0
225235.46,0.014,0.095,1.1523,12,1,-0.0602,0.2577,4,2.6268,0.0608,0,1
6803.01,0.1153,0.6595,1.1978,7,0,0.0959,0.1134,40,1.4659,0.3146,0,0
13587.53,0.3324,0.2349,0.9607,10,0,0.0055,0.2561,30,2.6654,-0.1027,1,0
74628.36,-0.0859,0.2025,1.9938,12,0,0.0084,0.1828,30,5.3063,-0.0969,1,0
3476.23,-0.1201,0.3412,2.1936,1,0,-0.0673,0.094,33,1.4076,-0.0776,1,0
30982.87,0.1247,0.3713,1.1215,1,0,0.1126,0.1855,42,3.0821,0.1053,0,0
156484.8,0.1076,0.2579,3.5265,8,0,0.0014,0.2462,1,0.6388,0.0495,1,0
1975.89,0.126,0.3284,1.4087,0,0,0.0148,0.3049,33,1.4238,0.1373,1,0
29055.14,0.1366,0.4197,3.5434,5,0,0.1484,0.29,36,1.3676,-0.1528,1,0
32526.95,0.0665,0.1308,1.1959,12,0,0.1537,0.3383,49,10.4258,-0.0635,0,0
71163.43,0.3235,0.3275,0.5985,12,1,-0.023,0.1062,31,0.9324,0.3341,1,0
3444.64,-0.1401,0.3091,2.016,2,0,0.0797,0.1489,37,3.7391,0.1543,1,0
3039.1,-0.0243,0.4433,1.8669,12,0,0.1406,0.358,14,9.7335,0.2047,1,0
48190.27,0.0845,0.452,1.6773,4,0,0.0317,0.0201,6,6.0759,0.0289,1,0
34388.48,-0.1465,0.1766,1.1959,7,0,0.117,0.1797,7,9.1812,0.139,1,0
32072.02,0.0736,0.0663,1.6205,6,1,0.0181,0.1887,40,10.3394,-0.015,1,0
37036.99,0.3492,0.2661,1.2768,12,0,0.0154,0.2723,24,2.8432,-0.2901,1,0
7942.34,0.1031,0.3501,1.4174,11,0,-0.0432,0.2285,4,3.9752,0.2871,1,0
31206.46,0.1346,0.5161,2.5113,3,0,0.2212,0.0518,25,3.177,0.1164,1,0
34187.27,-0.089,0.1097,1.8078,7,0,0.0016,0.343,3,3.9933,-0.0664,1,0
7543.74,0.0075,0.0626,2.2366,10,0,-0.0301,0.501,28,3.8093,0.0803,0,0
361733.04,0.0437,0.1326,1.4682,10,0,-0.0545,0.1831,23,10.7394,-0.0132,1,0
44835.22,0.0523,0.0583,1.3896,9,0,0.0585,0.2446,36,3.433,0.3797,1,0
3688.76,0.2922,0.3254,0.9261,10,0,-0.0517,0.2606,48,1.2674,0.2143,1,0
58972.73,0.1837,0.2886,1.3702,1,0,-0.0213,0.1223,13,4.3783,-0.1496,1,0
5105.01,-0.0667,0.3532,0.3133,6,0,0.1299,0.0843,22,4.8776,-0.1767,1,0
71727.31,0.137,0.134,1.2274,4,0,0.0949,0.0901,25,1.4084,0.1301,1,0
125228.25,0.1747,0.4068,1.5826,10,0,-0.0845,0.1016,43,1.363,0.1069,0,1
6431.59,0.271,0.1563,2.1855,5,0,0.1225,0.0929,24,5.8164,0.1836,1,0
93439.01,0.3371,0.297,1.4415,2,0,0.0533,0.3207,43,1.7746,0.0513,1,1
40911.7,-0.0523,0.6434,1.9617,10,0,0.1637,0.0079,37,1.9525,-0.0495,0,0
75590.83,-0.0216,0.1421,0.5544,9,0,0.1918,0.3228,33,1.8792,0.1819,1,0
378961.34,-0.0886,0.167,1.6025,6,0,-0.1109,0.2189,14,3.3072,0.1988,0,0
15243.64,0.0649,0.1297,0.7119,6,0,0.1265,0.2305,24,6.5705,0.3315,1,0
7110.98,0.17,0.1783,0.9011,1,0,0.2135,0.0497,22,4.6409,0.2269,1,0
5800.67,0.2481,0.1708,1.5014,0,0,0.071,0.0774,37,1.878,-0.0874,1,0
6478.76,0.0886,0.1853,3.1209,9,0,0.1188,0.1792,23,7.9284,0.1313,1,0
19620.84,0.052,0.2189,1.985,1,0,0.0725,0.122,6,5.4496,0.0228,0,0
36743.92,0.1228,0.3383,1.6638,11,0,0.1479,0.0995,19,6.0133,-0.109,1,0
33357.44,-0.0253,0.4604,1.6327,7,0,0.0883,0.1125,12,5.8588,-0.2778,1,0
76173.95,0.4134,0.3011,1.1539,10,0,-0.1522,0.1126,26,1.801,0.5295,1,0
22460.26,-0.1411,0.241,1.2561,9,0,0.0379,0.0827,29,1.3023,-0.0318,1,0
194911.54,0.1277,0.0419,2.0415,2,0,0.0314,0.2086,14,2.0735,0.0548,0,0
14809.36,0.4035,0.6492,0.8247,10,0,0.1214,0.0522,17,6.0043,0.124,1,0
1303096.29,0.101,0.2811,2.2178,3,0,0.1677,0.2346,30,1.0577,0.1023,0,0
56302.88,0.0715,0.2913,1.3576,7,0,0.0272,0.3049,7,0.9492,-0.4243,0,0
6089.15,0.0464,0.5463,2.4912,2,0,-0.0725,0.3019,21,0.637,0.0469,1,1
4418.97,0.0729,0.1897,2.6659,5,0,0.0806,0.2032,1,0.9951,0.4342,1,0
45420.04,0.3059,0.2486,0.7142,1,1,-0.0276,0.08,49,1.4459,0.0376,1,0
15753.31,-0.2318,0.4392,1.2327,2,0,-0.0106,0.3145,38,3.003,0.407,1,0
64279.8,0.33,0.4636,1.0749,0,0,0.2882,0.5005,4,1.082,0.0863,1,0
44795.21,-0.1136,0.2673,0.6661,8,0,-0.0178,0.041,46,4.6161,0.0098,0,0
19747.0,0.06,0.2819,0.9839,3,0,-0.1065,0.5061,8,2.8181,0.1089,1,0
6184.55,0.0356,0.5693,5.588,5,0,0.1104,0.0992,18,0.5303,0.0875,1,0
2270.44,0.1883,0.2237,2.2361,6,1,0.1207,0.0793,45,2.6783,0.0831,1,0
11273.7,-0.1397,0.2306,4.3001,1,0,0.1379,0.2208,8,3.0442,-0.0364,1,0
79586.38,0.1693,0.3532,2.4957,7,1,0.134,0.1485,31,12.5938,-0.1928,1,0
30367.88,0.4036,0.2321,1.1378,11,0,0.0646,0.0154,31,3.299,0.1923,1,0
3399.53,-0.1045,0.2384,1.3622,8,0,0.0656,0.0298,28,0.6601,0.099,1,0
28560.26,0.1285,0.3653,2.2127,9,0,0.144,0.1033,48,3.2664,0.4129,1,0
39260.57,0.0007,0.4133,2.0519,10,1,0.2109,0.1839,37,3.1253,0.0733,1,0
5850.1,0.1639,0.1413,1.2353,1,0,-0.0761,0.3337,3,4.4102,-0.2228,0,1
27738.81,0.1029,0.2789,0.7749,4,0,-0.0108,0.102,45,22.4111,0.1445,1,0
24036.12,0.0038,0.477,8.5325,1,0,0.1128,0.3594,15,1.7696,0.0952,0,0
3966.12,0.1732,0.3618,1.5364,10,0,0.0755,0.3341,4,1.6127,-0.0062,1,0
37672.33,0.3707,0.2962,1.4009,4,0,-0.1291,0.1486,35,3.9561,0.2037,0,0
51081.45,0.0714,0.3462,1.7448,6,0,-0.0073,0.196,34,11.7101,0.1795,1,0
111812.3,0.208,0.1085,1.4603,5,1,0.0803,0.2207,36,4.6499,-0.1594,0,0
107012.73,-0.094,0.2269,1.7531,3,0,0.0513,0.1991,6,2.0666,-0.0136,0,0
2789.16,-0.0435,0.1505,3.1376,1,0,0.0141,0.1457,4,5.9768,0.2989,0,0
5395.19,0.1709,0.2945,1.5492,6,0,0.2844,0.0659,49,11.4168,-0.1159,0,0
47693.62,0.3226,0.5362,0.9219,11,0,0.0475,0.2554,30,1.4696,0.0455,1,0
47604.33,0.1533,0.1375,1.5207,9,1,0.0731,0.3178,39,1.2207,0.1254,1,0
47694.51,0.053,0.2643,1.3071,8,0,0.0633,0.2162,18,2.8425,-0.1508,1,0
7124835.78,0.0999,0.1667,3.36,0,0,0.0712,0.2332,22,3.4588,0.0603,1,0
51861.7,-0.0876,0.1288,2.9611,2,0,0.0538,0.3074,10,8.2255,0.0538,1,0
120976.12,0.1907,0.3269,1.7398,6,0,-0.1582,0.1208,49,1.8682,0.0153,1,0
92134.31,0.2323,0.1158,0.8699,8,1,-0.049,0.3126,29,3.7491,-0.2261,1,0
58517.84,0.0322,0.3384,0.8932,12,0,0.0185,0.0375,23,9.4453,0.0799,1,0
13726.67,0.0295,0.3598,1.6612,4,0,0.1313,0.2419,4,3.2517,-0.0437,1,0
68765.25,0.1399,0.1738,1.9506,6,0,0.0201,0.2461,19,1.9814,0.2932,1,0
6910.26,0.0345,0.2783,1.3671,9,0,-0.0331,0.0898,26,4.2894,0.1631,1,0
15440.85,0.0901,0.6742,1.2968,6,0,0.1444,0.4761,7,2.087,-0.0754,1,1
10635.52,0.415,0.0364,1.2258,3,0,0.1851,0.1028,13,3.5612,0.0009,0,0
24904.68,0.0629,0.2245,1.6295,4,1,-0.1033,0.3035,3,2.3417,0.105,0,1
709267.37,0.0462,0.5983,0.5009,1,1,0.0597,0.1968,40,2.4218,0.0006,1,1
1338.23,0.0029,0.3466,0.9506,7,0,-0.217,0.055,11,1.9694,-0.223,1,0
61659.97,0.2116,0.4032,1.205,11,0,0.0189,0.283,16,1.7178,0.1385,1,0
1960.44,0.0728,0.528,3.0155,0,0,0.2384,0.145,20,6.0206,0.1852,1,0
10851.97,0.0026,0.4599,1.0976,1,0,0.0592,0.1206,23,3.1645,0.2282,1,0
112806.12,0.2982,0.3355,1.8044,11,0,-0.0881,0.2953,23,7.5311,0.2677,0,0
24256.02,0.3129,0.3901,1.8465,2,0,-0.0856,0.1234,32,0.4492,-0.0857,0,0
4373.78,0.0099,0.1465,3.1549,6,0,-0.0433,0.165,41,1.7935,0.237,0,0
7532.97,-0.18,0.2336,3.0996,5,0,-0.0172,0.1993,42,1.503,-0.1484,1,0
61046.83,0.2511,0.5356,1.602,6,0,-0.1393,0.1898,38,2.2185,0.1514,1,0
7364.67,-0.0027,0.5459,1.2999,10,0,0.0829,0.2807,3,1.1905,-0.0617,1,1
30475.79,0.2186,0.2932,1.183,4,1,0.1044,0.0663,8,0.7514,0.1637,1,0
23584.8,-0.1955,0.2606,1.4615,3,0,0.015,0.1799,38,4.6544,-0.2216,1,0
8288.29,0.2339,0.1462,1.3271,6,0,0.2546,0.0899,40,1.6912,0.1885,1,0
549034.27,-0.0817,0.3836,2.1745,2,0,0.0071,0.1218,14,4.2398,-0.0773,0,0
57004.1,0.2096,0.0372,2.0343,12,0,0.1703,0.2713,8,1.059,0.1766,0,0
1056.05,0.1021,0.1527,2.2164,9,0,-0.0888,0.2514,11,0.7343,0.1545,1,0
29134.59,-0.0431,0.3291,3.0945,6,0,0.08,0.0758,42,3.2969,0.1571,0,0
8162.62,0.0389,0.3034,4.1847,1,0,0.095,0.0714,42,4.5093,0.0895,1,0
79114.39,0.2029,0.2662,1.7548,11,0,-0.0211,0.319,43,1.6612,-0.1534,1,0
6709.09,0.1159,0.2394,2.8569,11,0,0.0667,0.2168,33,1.2048,0.3781,1,0
18543.88,0.1877,0.0673,1.3829,7,0,-0.0221,0.4264,15,7.3848,0.054,1,0
46980.17,0.3965,0.5421,2.9817,11,0,0.0188,0.2825,37,2.5966,0.0535,1,0
80711.21,-0.1346,0.1669,2.8032,5,0,0.0217,0.2403,14,1.2232,0.357,1,0
3639.33,0.3426,0.3125,2.7297,11,0,-0.0905,0.1341,26,0.8206,-0.0978,0,0
13336.34,0.1157,0.5755,1.7281,2,0,0.1023,0.2032,8,1.5672,0.0705,1,1
10803.03,-0.0348,0.4251,1.1804,2,1,0.1092,0.1918,49,1.9829,0.114,0,1
8266.83,-0.0995,0.6035,0.821,4,0,0.0127,0.2087,4,5.0043,0.0337,1,1
311196.98,0.0716,0.1644,1.616,2,0,0.0742,0.159,36,2.6822,0.1347,1,0
40435.87,0.2382,0.2087,3.5484,5,0,-0.042,0.1734,18,2.4391,-0.0363,1,0
3323.17,0.0809,0.4807,1.4121,1,0,-0.0752,0.1059,27,1.307,0.0664,1,0
87272.69,0.3267,0.2508,2.4414,7,0,0.01,0.1533,19,8.2041,0.1063,1,0
531380.86,-0.1177,0.137,2.5143,12,0,0.1191,0.0963,3,5.9369,0.3534,1,0
103642.0,0.0982,0.6245,1.4307,10,0,0.0425,0.1751,9,5.5698,0.4112,0,0
2255.09,-0.0879,0.1918,3.1841,11,0,0.0062,0.2705,39,2.5891,0.1139,1,0
10653.55,0.1545,0.2992,0.3851,10,0,0.0836,0.3919,2,3.7465,0.3198,1,0
147320.64,0.233,0.2685,0.8946,8,0,-0.0416,0.0522,9,0.3464,-0.065,1,0
7619.73,0.0369,0.3145,1.0431,12,0,-0.0726,0.108,6,3.1962,0.5303,0,0
42861.49,-0.2906,0.1664,1.0943,6,1,0.0147,0.1297,38,12.6582,0.0311,1,0
70400.18,0.1298,0.0352,1.9506,2,0,-0.035,0.3834,28,1.7087,0.0734,1,0
5484.08,0.1655,0.3459,1.906,10,0,-0.069,0.1441,48,1.2356,0.1864,1,0
20145.01,0.1606,0.3485,2.0077,9,0,0.1404,0.0933,34,2.4256,0.2505,1,0
170.39,0.2854,0.0821,2.2212,3,0,0.2703,0.2726,29,1.3646,0.0457,0,0
4738.23,-0.0607,0.2157,1.0253,11,0,-0.1055,0.2774,48,1.2978,-0.3216,1,1
15080.35,0.202,0.0827,0.8967,9,0,0.0084,0.3384,3,3.3602,0.2112,0,1
3389.12,0.2789,0.4167,2.0101,1,0,0.0674,0.4423,16,5.2572,-0.102,1,0
254897.54,-0.1668,0.088,1.2031,8,0,-0.1221,0.0469,44,3.3846,0.2348,1,0
2578.05,0.1479,0.3531,0.7518,4,0,0.0277,0.197,35,1.0865,0.2305,0,0
11383.65,0.0244,0.3824,2.6796,11,0,0.035,0.3205,11,1.5914,0.1185,1,1
26798.76,0.0878,0.2538,3.312,1,0,0.098,0.2348,43,3.5144,0.2609,0,0
191359.65,0.1522,0.6067,3.5915,9,0,-0.0273,0.0919,23,4.5994,-0.0181,1,0
2556.02,0.0269,0.0193,1.8103,5,0,-0.0065,0.0911,30,2.3016,0.355,1,0
126089.3,-0.0014,0.4187,2.2546,6,0,0.1471,0.1339,48,1.3302,0.1126,1,0
22367.17,0.1051,0.3404,3.2705,12,0,0.0919,0.3346,5,5.0508,0.0429,0,0
5053.0,-0.0631,0.4849,1.1964,1,0,0.1228,0.3526,8,11.5881,0.3083,0,0
